Year,Regional code,Country,Number of issued,Number of issued_numerical,Travel certificate,Diplomacy,Public use,Passing,Short -term stay,Staying in medical care,Advanced profession,Employment,Employment_Professor,Employment_Art,Employment_religion,Employment_Report,Employment_Management / Management,Employment_Law accounting,Employment_Medical care,Employment_Research,Employment_Education,Employment_Technology,Employment_Humanities International,Employment_C corporate rotation,Employment_show,Employment_Skills,Ordinary,General_Cultural activity,General_Studying abroad,General_Arademy,General_Training,General_Family stay,General_Stifying 1 I,General_Steng 1,identification,Specific_housework employee,Specific_profit representative staff,Specific_working holiday,Specified_Amasport,"Specific_Japanese spouse, etc.","Specific_Permanent resident's spouse, etc.",Specified_Distingant,Specific_Others
2017,40,Afghanistan,1005,46,0.0,14.0,112.0,0,224,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,604,1.0,66.0,0.0,248,289.0,0.0,0.0,13,0.0,0.0,0.0,0.0,2,3.0,8,0.0
2017,80,Albania,252,7,0.0,0.0,2.0,1,200,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,41,4.0,9.0,0.0,27,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,120,Algeria,899,19,0.0,8.0,11.0,3,813,0.0,0.0,25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,37,2.0,14.0,0.0,13,8.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,1.0,0,0.0
2017,200,Andra,5,0,0.0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,240,Angola,111,12,75.0,9.0,7.0,0,67,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28,0.0,3.0,0.0,25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,280,Antigua Berbuda,41,8,0.0,1.0,0.0,0,28,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12,0.0,0.0,0.0,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,310,Azerbaijan,619,8,0.0,31.0,20.0,0,505,0.0,1.0,14,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.0,46,1.0,22.0,0.0,22,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,1.0,0,0.0
2017,320,Argentina,450,0,0.0,0.0,1.0,0,0,0.0,0.0,209,3.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,129,20.0,147,11.0,33.0,0.0,85,13.0,5.0,0.0,93,0.0,0.0,45.0,0.0,19,2.0,25,2.0
2017,360,Australia,3887,281,0.0,54.0,220.0,0,5,0.0,8.0,1501,86.0,6.0,22.0,3.0,33.0,0.0,0.0,9.0,210.0,0.0,0.0,40.0,692,114.0,758,21.0,586.0,0.0,21,130.0,0.0,0.0,1341,0.0,0.0,1182.0,21.0,114,4.0,2,18.0
2017,400,Austria,875,0,0.0,0.0,0.0,0,0,0.0,0.0,684,21.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,623,12.0,136,7.0,119.0,0.0,0,10.0,0.0,0.0,55,0.0,0.0,49.0,0.0,5,0.0,0,1.0
2017,440,Bahamas,7,0,0.0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4,0.0,3.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,480,Barrane,644,59,0.0,34.0,64.0,0,515,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,12,0.0,4.0,0.0,0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,500,Bangladesh,9082,159,0.0,2.0,96.0,20,6302,0.0,0.0,202,33.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,2,63.0,2350,20.0,1291.0,0.0,435,548.0,0.0,56.0,110,1.0,0.0,0.0,0.0,24,43.0,41,1.0
2017,510,Armenia,347,3,0.0,15.0,12.0,1,264,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,48,2.0,3.0,0.0,41,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,0.0
2017,520,Barbados,11,0,0.0,0.0,0.0,0,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0.0,6,0.0,3.0,0.0,2,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,560,Belgium,498,2,0.0,0.0,2.0,0,1,0.0,1.0,325,18.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,11.0,245,0.0,163,11.0,131.0,0.0,1,20.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0,0.0
2017,640,Bhutan,1163,148,2.0,21.0,133.0,0,281,0.0,0.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,717,0.0,534.0,0.0,178,5.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0,0.0
